CALL_ID,TIMESTAMP,CALL_LENGTH,PHONE_NUMBERS
JRFX2914,Tue Mar 24 13:50:52 EDT 1981,184,927-368-1632652|502-051-2362165
XKYK7040,Thu Jun 07 09:12:38 EDT 2007,443,039-293-2708822|136-428-9542400
OWJS2395,Tue May 14 18:40:44 EDT 1985,386,863-652-4297225|144-171-3608321
OBZH0305,Mon Sep 21 21:32:58 EDT 1998,178,919-155-3948520|594-730-7507885
OEFY1505,Thu Feb 05 16:31:26 EDT 2015,591,958-358-5144762|702-311-6541328
MYTG8505,Thu May 03 21:58:10 EDT 2018,392,599-761-7750925|371-972-9479012
UNFG6543,Thu Jan 20 01:24:40 EDT 1994,187,008-807-5074229|995-774-6067664
JRGI6842,Wed Mar 21 14:23:39 EDT 1984,240,084-103-2575865|308-485-7242672|269-479-2230454
QTWN6539,Sun Jan 17 13:50:36 EDT 2010,151,605-849-1371960|524-449-5412955
QKRU6086,Fri Aug 12 15:52:55 EDT 1988,321,424-216-2483098|294-733-8621820
SEYW8992,Tue Jan 07 11:22:49 EDT 1992,517,392-526-1300701|558-562-4606328
YADP2991,Sat Jun 04 21:19:30 EDT 1988,30,224-466-4853789|706-719-9150451
TLHQ0697,Wed Jun 23 23:54:17 EDT 2010,224,198-445-7579534|556-206-6472197
SCGV4203,Tue Mar 20 02:24:06 EDT 1973,116,758-959-8875458|451-454-3165252
ESOA6840,Wed May 30 01:22:20 EDT 2007,473,327-960-2925901|253-193-7100593
KUKM3639,Sun Jan 08 22:14:51 EDT 1995,573,904-266-1986093|594-579-8921052
ZKFX0486,Fri Sep 13 23:38:25 EDT 1985,409,983-713-1338612|076-375-6081241
DGQS4942,Tue Mar 04 03:17:20 EDT 2003,160,287-644-4387361|392-526-1300701|698-220-9955990|237-837-6677875
QNPL9793,Tue Jul 23 15:29:28 EDT 1996,99,863-652-4297225|204-202-6969146|916-578-5302922
PIIU8283,Tue Oct 20 15:18:54 EDT 1992,325,219-048-2725076|390-309-6241278
BOKB0072,Mon Jun 04 07:43:11 EDT 1979,345,034-640-1420313|974-679-3110603
CFJW1888,Tue Oct 16 20:33:04 EDT 2001,116,039-293-2708822|831-252-8309948|916-578-5302922|008-807-5074229
KINV9885,Fri Nov 20 18:38:56 EDT 1992,176,649-106-5230674|706-719-9150451
SVQW6347,Tue Aug 18 10:19:42 EDT 1998,238,353-788-6574715|217-051-9794473
BITK9896,Fri Sep 07 02:00:47 EDT 2012,366,905-565-0895406|004-085-7835151
HVAF1447,Sun Dec 07 01:02:23 EDT 2003,343,611-851-0305972|537-663-2603948
SBEC5221,Fri Aug 31 17:15:22 EDT 2012,569,939-284-7448131|093-935-7509473
VNTB5240,Wed Jan 29 02:00:29 EDT 2014,175,735-127-2938419|032-947-6484840
ABNZ5357,Tue Jun 12 15:33:11 EDT 1979,468,248-141-8244708|338-548-4342569
MDEZ3605,Sat Oct 25 10:52:57 EDT 1986,488,668-043-3720705|924-593-3604662
TGTO5301,Sun Nov 05 10:26:28 EDT 2017,262,566-580-8836564|333-207-7742934
CWEN6401,Sat Mar 14 11:22:27 EDT 1970,527,601-941-7186305|339-090-8415571
VVBB7675,Tue Sep 13 21:59:22 EDT 1994,579,014-242-5768304|484-792-1838206
CBOW4360,Mon Jan 14 08:19:04 EDT 1985,267,924-593-3604662|852-699-7129474
LOCB8948,Sat Dec 16 10:01:20 EDT 1978,125,013-185-7646766|921-372-8085224
DJLH2315,Thu Mar 27 02:55:15 EDT 1975,408,916-001-4140435|803-334-5930056
FEQC8396,Fri May 15 13:36:01 EDT 1981,63,863-652-4297225|452-400-6023258|064-344-0390742
